PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
54_01,Mars,True,F549,PSO J318.5-22,39.0,True,2447.0,2447.0,2447.0,2447.0,2447.0,Guest 54,0
55_01,Europa,False,A394,TRAPPIST-1e,31.0,True,138.3,138.3,138.3,138.3,138.3,Guest 55,0
56_01,Europa,True,B430,55 Cancri e,44.0,True,1798.0,1798.0,1798.0,1798.0,1798.0,Guest 56,0
57_01,Europa,False,A108,PSO J318.5-22,19.0,True,632.6,632.6,632.6,632.6,632.6,Guest 57,0
58_01,Mars,True,B161,55 Cancri e,13.0,False,426.7,426.7,426.7,426.7,426.7,Guest 58,0
59_01,Mars,False,A963,55 Cancri e,30.0,False,3190.8,3190.8,3190.8,3190.8,3190.8,Guest 59,0
60_01,Mars,True,A708,TRAPPIST-1e,41.0,True,69.9,69.9,69.9,69.9,69.9,Guest 60,0
61_01,Earth,True,E880,55 Cancri e,10.0,False,13.9,13.9,13.9,13.9,13.9,Guest 61,0
62_01,Mars,False,A885,55 Cancri e,41.0,False,376.5,376.5,376.5,376.5,376.5,Guest 62,0
63_01,Mars,True,D831,TRAPPIST-1e,40.0,True,1378.8,1378.8,1378.8,1378.8,1378.8,Guest 63,0
64_01,Earth,True,G369,PSO J318.5-22,24.0,True,3225.5,3225.5,3225.5,3225.5,3225.5,Guest 64,0
65_01,Europa,True,A48,55 Cancri e,32.0,False,5298.5,5298.5,5298.5,5298.5,5298.5,Guest 65,0
66_01,Earth,True,E435,TRAPPIST-1e,26.0,False,13.5,13.5,13.5,13.5,13.5,Guest 66,0
67_01,Earth,False,B980,55 Cancri e,31.0,False,450.0,450.0,450.0,450.0,450.0,Guest 67,0
68_01,Earth,False,G121,TRAPPIST-1e,40.0,False,259.9,259.9,259.9,259.9,259.9,Guest 68,0
69_01,Europa,True,G537,55 Cancri e,20.0,True,470.6,470.6,470.6,470.6,470.6,Guest 69,0
70_01,Europa,True,G165,TRAPPIST-1e,42.0,False,504.5,504.5,504.5,504.5,504.5,Guest 70,0
71_01,Europa,False,D815,55 Cancri e,40.0,True,571.5,571.5,571.5,571.5,571.5,Guest 71,0
72_01,Earth,False,B844,TRAPPIST-1e,41.0,False,4.6,4.6,4.6,4.6,4.6,Guest 72,0
73_01,Europa,False,E114,PSO J318.5-22,6.0,False,364.3,364.3,364.3,364.3,364.3,Guest 73,0
74_01,Mars,True,D632,55 Cancri e,7.0,False,273.4,273.4,273.4,273.4,273.4,Guest 74,0
75_01,Mars,True,F991,PSO J318.5-22,38.0,True,951.9,951.9,951.9,951.9,951.9,Guest 75,0
76_01,Earth,True,B317,PSO J318.5-22,23.0,False,684.4,684.4,684.4,684.4,684.4,Guest 76,0
77_01,Mars,False,C498,TRAPPIST-1e,21.0,False,297.6,297.6,297.6,297.6,297.6,Guest 77,0
78_01,Europa,True,A436,TRAPPIST-1e,20.0,True,119.0,119.0,119.0,119.0,119.0,Guest 78,0
79_01,Mars,False,C383,TRAPPIST-1e,13.0,False,220.9,220.9,220.9,220.9,220.9,Guest 79,0
80_01,Earth,False,F501,55 Cancri e,26.0,True,1134.1,1134.1,1134.1,1134.1,1134.1,Guest 80,0
81_01,Mars,False,A198,55 Cancri e,21.0,False,1142.5,1142.5,1142.5,1142.5,1142.5,Guest 81,0
82_01,Earth,True,E505,PSO J318.5-22,22.0,False,403.6,403.6,403.6,403.6,403.6,Guest 82,0
83_01,Europa,False,F444,55 Cancri e,36.0,False,1450.2,1450.2,1450.2,1450.2,1450.2,Guest 83,0
84_01,Europa,False,F943,PSO J318.5-22,15.0,False,506.1,506.1,506.1,506.1,506.1,Guest 84,0
85_01,Earth,True,B387,PSO J318.5-22,43.0,True,486.7,486.7,486.7,486.7,486.7,Guest 85,1
86_01,Mars,False,E909,TRAPPIST-1e,3.0,False,5.6,5.6,5.6,5.6,5.6,Guest 86,0
87_01,Europa,False,A707,TRAPPIST-1e,60.0,False,2854.8,2854.8,2854.8,2854.8,2854.8,Guest 87,0
88_01,Europa,False,B920,PSO J318.5-22,13.0,False,50.6,50.6,50.6,50.6,50.6,Guest 88,0
89_01,Europa,True,B948,55 Cancri e,37.0,False,1190.1,1190.1,1190.1,1190.1,1190.1,Guest 89,0
90_01,Mars,True,A871,55 Cancri e,41.0,False,62.3,62.3,62.3,62.3,62.3,Guest 90,0
91_01,Earth,True,C472,PSO J318.5-22,30.0,False,972.4,972.4,972.4,972.4,972.4,Guest 91,1
92_01,Europa,True,F678,PSO J318.5-22,39.0,False,2622.1,2622.1,2622.1,2622.1,2622.1,Guest 92,0
93_01,Mars,True,A171,55 Cancri e,28.0,False,2047.7,2047.7,2047.7,2047.7,2047.7,Guest 93,0
94_01,Earth,True,E952,PSO J318.5-22,8.0,False,201.0,201.0,201.0,201.0,201.0,Guest 94,0
95_01,Earth,False,C850,PSO J318.5-22,34.0,True,562.7,562.7,562.7,562.7,562.7,Guest 95,0
96_01,Mars,True,A477,PSO J318.5-22,44.0,False,77.6,77.6,77.6,77.6,77.6,Guest 96,0
97_01,Europa,True,E808,PSO J318.5-22,23.0,False,275.3,275.3,275.3,275.3,275.3,Guest 97,0
98_01,Mars,False,C632,PSO J318.5-22,9.0,False,2658.2,2658.2,2658.2,2658.2,2658.2,Guest 98,0
99_01,Mars,False,B61,TRAPPIST-1e,22.0,False,834.8,834.8,834.8,834.8,834.8,Guest 99,0
100_01,Europa,True,C307,PSO J318.5-22,34.0,False,37.9,37.9,37.9,37.9,37.9,Guest 100,0
101_01,Europa,True,B56,PSO J318.5-22,33.0,True,500.5,500.5,500.5,500.5,500.5,Guest 101,0
102_01,Mars,False,F642,TRAPPIST-1e,43.0,False,218.8,218.8,218.8,218.8,218.8,Guest 102,0
103_01,Mars,True,E853,55 Cancri e,37.0,True,70.6,70.6,70.6,70.6,70.6,Guest 103,0
104_01,Mars,False,B148,TRAPPIST-1e,36.0,False,528.3,528.3,528.3,528.3,528.3,Guest 104,0
105_01,Earth,False,G116,TRAPPIST-1e,5.0,True,2326.3,2326.3,2326.3,2326.3,2326.3,Guest 105,0
106_01,Earth,True,B63,TRAPPIST-1e,57.0,True,900.8,900.8,900.8,900.8,900.8,Guest 106,0
107_01,Mars,True,F514,55 Cancri e,30.0,False,689.5,689.5,689.5,689.5,689.5,Guest 107,0
108_01,Mars,True,E973,55 Cancri e,40.0,False,253.0,253.0,253.0,253.0,253.0,Guest 108,0
109_01,Mars,False,A947,PSO J318.5-22,25.0,True,573.6,573.6,573.6,573.6,573.6,Guest 109,0
110_01,Earth,False,A661,TRAPPIST-1e,28.0,True,982.4,982.4,982.4,982.4,982.4,Guest 110,0
111_01,Earth,True,G331,PSO J318.5-22,30.0,True,103.3,103.3,103.3,103.3,103.3,Guest 111,0
112_01,Earth,False,C877,TRAPPIST-1e,49.0,True,805.1,805.1,805.1,805.1,805.1,Guest 112,0
113_01,Mars,True,G20,TRAPPIST-1e,48.0,True,356.9,356.9,356.9,356.9,356.9,Guest 113,0
114_01,Europa,True,C490,PSO J318.5-22,37.0,False,1496.2,1496.2,1496.2,1496.2,1496.2,Guest 114,0
115_01,Mars,False,D582,55 Cancri e,54.0,False,1066.1,1066.1,1066.1,1066.1,1066.1,Guest 115,0
116_01,Mars,False,G991,PSO J318.5-22,25.0,False,1788.4,1788.4,1788.4,1788.4,1788.4,Guest 116,0
117_01,Mars,True,A344,PSO J318.5-22,36.0,False,399.6,399.6,399.6,399.6,399.6,Guest 117,0
118_01,Europa,True,A982,55 Cancri e,24.0,False,22.7,22.7,22.7,22.7,22.7,Guest 118,0
119_01,Mars,True,E386,PSO J318.5-22,46.0,False,53.2,53.2,53.2,53.2,53.2,Guest 119,0
120_01,Mars,True,C953,TRAPPIST-1e,30.0,False,275.8,275.8,275.8,275.8,275.8,Guest 120,0
121_01,Mars,False,D587,55 Cancri e,42.0,False,239.8,239.8,239.8,239.8,239.8,Guest 121,0
122_01,Mars,True,G323,TRAPPIST-1e,51.0,False,2471.3,2471.3,2471.3,2471.3,2471.3,Guest 122,0
123_01,Mars,False,C546,55 Cancri e,4.0,True,99.9,99.9,99.9,99.9,99.9,Guest 123,0
124_01,Mars,False,B614,TRAPPIST-1e,56.0,False,1251.6,1251.6,1251.6,1251.6,1251.6,Guest 124,0
125_01,Mars,True,B398,PSO J318.5-22,34.0,True,1773.4,1773.4,1773.4,1773.4,1773.4,Guest 125,0
126_01,Europa,True,E133,PSO J318.5-22,26.0,False,292.0,292.0,292.0,292.0,292.0,Guest 126,0
127_01,Europa,True,C24,55 Cancri e,6.0,True,385.9,385.9,385.9,385.9,385.9,Guest 127,0
128_01,Earth,True,D528,TRAPPIST-1e,26.0,True,404.6,404.6,404.6,404.6,404.6,Guest 128,1
129_01,Mars,True,B951,TRAPPIST-1e,2.0,True,289.0,289.0,289.0,289.0,289.0,Guest 129,0
130_01,Mars,False,C114,PSO J318.5-22,31.0,True,144.5,144.5,144.5,144.5,144.5,Guest 130,0
131_01,Mars,True,E272,TRAPPIST-1e,28.0,False,183.3,183.3,183.3,183.3,183.3,Guest 131,0
132_01,Earth,False,G554,55 Cancri e,52.0,False,1570.6,1570.6,1570.6,1570.6,1570.6,Guest 132,0
133_01,Earth,False,E196,TRAPPIST-1e,26.0,False,478.5,478.5,478.5,478.5,478.5,Guest 133,0
134_01,Mars,False,E447,TRAPPIST-1e,43.0,False,1052.6,1052.6,1052.6,1052.6,1052.6,Guest 134,0
135_01,Europa,True,B870,55 Cancri e,44.0,False,2841.0,2841.0,2841.0,2841.0,2841.0,Guest 135,0
136_01,Earth,False,C435,PSO J318.5-22,55.0,False,90.5,90.5,90.5,90.5,90.5,Guest 136,0
137_01,Mars,True,B819,TRAPPIST-1e,27.0,True,159.1,159.1,159.1,159.1,159.1,Guest 137,0
138_01,Europa,False,F931,TRAPPIST-1e,39.0,False,139.3,139.3,139.3,139.3,139.3,Guest 138,0
139_01,Europa,True,F901,PSO J318.5-22,11.0,True,68.4,68.4,68.4,68.4,68.4,Guest 139,0
140_01,Earth,True,G382,PSO J318.5-22,16.0,False,75.0,75.0,75.0,75.0,75.0,Guest 140,0
141_01,Earth,True,D722,TRAPPIST-1e,27.0,True,92.4,92.4,92.4,92.4,92.4,Guest 141,0
142_01,Europa,False,D368,55 Cancri e,30.0,False,1518.1,1518.1,1518.1,1518.1,1518.1,Guest 142,0
143_01,Earth,False,B777,TRAPPIST-1e,15.0,False,210.3,210.3,210.3,210.3,210.3,Guest 143,0
144_01,Earth,True,A646,55 Cancri e,25.0,False,7.2,7.2,7.2,7.2,7.2,Guest 144,0
145_01,Mars,True,E679,TRAPPIST-1e,38.0,True,795.0,795.0,795.0,795.0,795.0,Guest 145,0
146_01,Europa,True,E263,PSO J318.5-22,24.0,False,666.0,666.0,666.0,666.0,666.0,Guest 146,0
147_01,Earth,True,E318,55 Cancri e,28.0,True,1193.2,1193.2,1193.2,1193.2,1193.2,Guest 147,0
148_01,Mars,True,B918,55 Cancri e,19.0,True,335.1,335.1,335.1,335.1,335.1,Guest 148,0
149_01,Mars,False,A799,55 Cancri e,47.0,False,745.8,745.8,745.8,745.8,745.8,Guest 149,0
150_01,Earth,True,C338,TRAPPIST-1e,52.0,False,45.7,45.7,45.7,45.7,45.7,Guest 150,0
151_01,Europa,False,C712,55 Cancri e,32.0,True,539.0,539.0,539.0,539.0,539.0,Guest 151,0
152_01,Europa,True,C84,TRAPPIST-1e,28.0,False,2231.7,2231.7,2231.7,2231.7,2231.7,Guest 152,0
153_01,Mars,False,F304,TRAPPIST-1e,50.0,False,167.5,167.5,167.5,167.5,167.5,Guest 153,0
154_01,Europa,False,G415,PSO J318.5-22,36.0,False,326.5,326.5,326.5,326.5,326.5,Guest 154,0
155_01,Mars,False,G561,PSO J318.5-22,22.0,True,38.5,38.5,38.5,38.5,38.5,Guest 155,0
156_01,Europa,False,D684,PSO J318.5-22,13.0,True,865.5,865.5,865.5,865.5,865.5,Guest 156,0
157_01,Europa,False,D75,TRAPPIST-1e,23.0,True,110.5,110.5,110.5,110.5,110.5,Guest 157,0
158_01,Mars,True,A435,55 Cancri e,57.0,True,106.6,106.6,106.6,106.6,106.6,Guest 158,0
159_01,Earth,False,G208,PSO J318.5-22,23.0,False,81.9,81.9,81.9,81.9,81.9,Guest 159,0
160_01,Earth,True,B973,PSO J318.5-22,65.0,False,1368.5,1368.5,1368.5,1368.5,1368.5,Guest 160,0
161_01,Mars,True,E48,55 Cancri e,30.0,False,917.8,917.8,917.8,917.8,917.8,Guest 161,0
162_01,Earth,True,D318,TRAPPIST-1e,27.0,True,347.6,347.6,347.6,347.6,347.6,Guest 162,1
163_01,Europa,False,D258,PSO J318.5-22,46.0,False,181.1,181.1,181.1,181.1,181.1,Guest 163,0
164_01,Europa,False,B128,55 Cancri e,27.0,False,475.2,475.2,475.2,475.2,475.2,Guest 164,0
165_01,Earth,True,C272,55 Cancri e,35.0,True,240.6,240.6,240.6,240.6,240.6,Guest 165,0
166_01,Mars,False,F196,TRAPPIST-1e,17.0,True,342.8,342.8,342.8,342.8,342.8,Guest 166,0
167_01,Earth,True,F603,TRAPPIST-1e,15.0,False,324.5,324.5,324.5,324.5,324.5,Guest 167,0
168_01,Earth,False,C557,55 Cancri e,21.0,False,44.0,44.0,44.0,44.0,44.0,Guest 168,0
169_01,Mars,True,E670,PSO J318.5-22,33.0,False,506.2,506.2,506.2,506.2,506.2,Guest 169,0
170_01,Europa,True,A996,TRAPPIST-1e,22.0,True,2166.8,2166.8,2166.8,2166.8,2166.8,Guest 170,0
171_01,Europa,True,D380,55 Cancri e,6.0,True,444.6,444.6,444.6,444.6,444.6,Guest 171,0
172_01,Mars,False,C845,TRAPPIST-1e,36.0,False,520.5,520.5,520.5,520.5,520.5,Guest 172,0
173_01,Mars,True,G688,TRAPPIST-1e,28.0,False,25.7,25.7,25.7,25.7,25.7,Guest 173,0
174_01,Mars,False,F779,TRAPPIST-1e,27.0,True,132.4,132.4,132.4,132.4,132.4,Guest 174,0
175_01,Earth,True,B684,55 Cancri e,22.0,True,449.7,449.7,449.7,449.7,449.7,Guest 175,0
176_01,Mars,True,E49,TRAPPIST-1e,2.0,True,1253.4,1253.4,1253.4,1253.4,1253.4,Guest 176,0
177_01,Europa,True,F936,55 Cancri e,50.0,False,1153.2,1153.2,1153.2,1153.2,1153.2,Guest 177,0
178_01,Mars,False,C608,PSO J318.5-22,24.0,False,1546.8,1546.8,1546.8,1546.8,1546.8,Guest 178,0
179_01,Earth,False,B970,PSO J318.5-22,36.0,False,2041.5,2041.5,2041.5,2041.5,2041.5,Guest 179,0
180_01,Earth,False,A932,TRAPPIST-1e,47.0,False,2236.5,2236.5,2236.5,2236.5,2236.5,Guest 180,0
181_01,Europa,True,C48,PSO J318.5-22,44.0,False,309.9,309.9,309.9,309.9,309.9,Guest 181,0
182_01,Earth,False,B268,TRAPPIST-1e,32.0,True,1215.6,1215.6,1215.6,1215.6,1215.6,Guest 182,0
183_01,Europa,True,C470,PSO J318.5-22,30.0,True,674.9,674.9,674.9,674.9,674.9,Guest 183,0
184_01,Europa,True,A847,PSO J318.5-22,34.0,True,1104.5,1104.5,1104.5,1104.5,1104.5,Guest 184,0
185_01,Mars,False,E149,55 Cancri e,41.0,False,453.1,453.1,453.1,453.1,453.1,Guest 185,0
186_01,Mars,False,B598,55 Cancri e,37.0,False,2396.8,2396.8,2396.8,2396.8,2396.8,Guest 186,0
187_01,Europa,False,F218,TRAPPIST-1e,24.0,True,35.2,35.2,35.2,35.2,35.2,Guest 187,0
188_01,Mars,False,C397,TRAPPIST-1e,36.0,True,911.5,911.5,911.5,911.5,911.5,Guest 188,0
189_01,Mars,False,F306,55 Cancri e,35.0,False,1094.5,1094.5,1094.5,1094.5,1094.5,Guest 189,0
190_01,Earth,True,D124,PSO J318.5-22,39.0,True,987.7,987.7,987.7,987.7,987.7,Guest 190,0
191_01,Mars,False,B884,PSO J318.5-22,33.0,True,79.2,79.2,79.2,79.2,79.2,Guest 191,0
192_01,Europa,True,C666,TRAPPIST-1e,47.0,False,348.0,348.0,348.0,348.0,348.0,Guest 192,0
193_01,Earth,True,B923,TRAPPIST-1e,32.0,True,1205.6,1205.6,1205.6,1205.6,1205.6,Guest 193,0
194_01,Earth,True,F177,TRAPPIST-1e,41.0,True,954.2,954.2,954.2,954.2,954.2,Guest 194,0
195_01,Europa,True,D647,PSO J318.5-22,31.0,True,1505.4,1505.4,1505.4,1505.4,1505.4,Guest 195,0
196_01,Mars,False,F558,PSO J318.5-22,23.0,True,189.3,189.3,189.3,189.3,189.3,Guest 196,0
197_01,Europa,False,B888,PSO J318.5-22,18.0,False,1709.0,1709.0,1709.0,1709.0,1709.0,Guest 197,0
198_01,Earth,False,C188,TRAPPIST-1e,28.0,False,819.7,819.7,819.7,819.7,819.7,Guest 198,0
199_01,Europa,False,C229,PSO J318.5-22,37.0,True,356.9,356.9,356.9,356.9,356.9,Guest 199,0
200_01,Earth,True,B402,55 Cancri e,46.0,True,2531.4,2531.4,2531.4,2531.4,2531.4,Guest 200,0
201_01,Mars,True,C991,55 Cancri e,29.0,True,511.9,511.9,511.9,511.9,511.9,Guest 201,1
202_01,Europa,False,A209,TRAPPIST-1e,24.0,False,1115.2,1115.2,1115.2,1115.2,1115.2,Guest 202,0
203_01,Earth,False,B504,TRAPPIST-1e,24.0,False,4266.8,4266.8,4266.8,4266.8,4266.8,Guest 203,0
204_01,Mars,False,G279,PSO J318.5-22,46.0,False,633.6,633.6,633.6,633.6,633.6,Guest 204,0
205_01,Europa,True,C42,PSO J318.5-22,31.0,True,23.3,23.3,23.3,23.3,23.3,Guest 205,0
206_01,Mars,True,D837,55 Cancri e,24.0,True,915.3,915.3,915.3,915.3,915.3,Guest 206,0
207_01,Earth,True,B437,TRAPPIST-1e,39.0,True,1207.5,1207.5,1207.5,1207.5,1207.5,Guest 207,0
208_01,Mars,False,D365,PSO J318.5-22,14.0,False,420.2,420.2,420.2,420.2,420.2,Guest 208,0
209_01,Mars,True,F887,55 Cancri e,31.0,False,114.4,114.4,114.4,114.4,114.4,Guest 209,0
210_01,Europa,False,F646,PSO J318.5-22,29.0,True,2145.6,2145.6,2145.6,2145.6,2145.6,Guest 210,0
211_01,Europa,True,A950,55 Cancri e,28.0,False,998.7,998.7,998.7,998.7,998.7,Guest 211,0
212_01,Mars,True,G165,TRAPPIST-1e,16.0,False,395.1,395.1,395.1,395.1,395.1,Guest 212,0
213_01,Earth,True,C773,TRAPPIST-1e,42.0,True,269.8,269.8,269.8,269.8,269.8,Guest 213,0
214_01,Mars,False,A137,TRAPPIST-1e,51.0,True,399.8,399.8,399.8,399.8,399.8,Guest 214,0
215_01,Earth,False,E767,55 Cancri e,14.0,False,983.5,983.5,983.5,983.5,983.5,Guest 215,0
216_01,Europa,False,B449,TRAPPIST-1e,31.0,True,1725.1,1725.1,1725.1,1725.1,1725.1,Guest 216,0
217_01,Europa,True,G894,TRAPPIST-1e,38.0,True,1127.3,1127.3,1127.3,1127.3,1127.3,Guest 217,0
218_01,Mars,False,F360,55 Cancri e,58.0,False,333.5,333.5,333.5,333.5,333.5,Guest 218,0
219_01,Europa,True,C809,PSO J318.5-22,25.0,False,592.6,592.6,592.6,592.6,592.6,Guest 219,0
220_01,Mars,False,E347,TRAPPIST-1e,18.0,True,175.2,175.2,175.2,175.2,175.2,Guest 220,0
221_01,Mars,False,G80,PSO J318.5-22,30.0,True,807.2,807.2,807.2,807.2,807.2,Guest 221,0
222_01,Europa,True,B613,TRAPPIST-1e,55.0,False,187.5,187.5,187.5,187.5,187.5,Guest 222,0
223_01,Europa,True,B230,55 Cancri e,31.0,True,1104.8,1104.8,1104.8,1104.8,1104.8,Guest 223,0
224_01,Europa,True,F765,55 Cancri e,33.0,True,335.1,335.1,335.1,335.1,335.1,Guest 224,0
225_01,Europa,False,B780,55 Cancri e,52.0,True,606.6,606.6,606.6,606.6,606.6,Guest 225,0
226_01,Earth,False,G376,PSO J318.5-22,4.0,False,785.3,785.3,785.3,785.3,785.3,Guest 226,0
227_01,Mars,True,F177,TRAPPIST-1e,3.0,True,447.5,447.5,447.5,447.5,447.5,Guest 227,0
228_01,Europa,False,F812,PSO J318.5-22,41.0,True,446.6,446.6,446.6,446.6,446.6,Guest 228,0
229_01,Earth,True,F920,PSO J318.5-22,40.0,True,733.7,733.7,733.7,733.7,733.7,Guest 229,0
230_01,Earth,False,D937,TRAPPIST-1e,13.0,False,1543.8,1543.8,1543.8,1543.8,1543.8,Guest 230,0
231_01,Mars,True,D772,TRAPPIST-1e,36.0,True,415.1,415.1,415.1,415.1,415.1,Guest 231,0
232_01,Europa,False,B202,TRAPPIST-1e,31.0,False,872.0,872.0,872.0,872.0,872.0,Guest 232,0
233_01,Europa,True,G866,55 Cancri e,33.0,False,306.8,306.8,306.8,306.8,306.8,Guest 233,0
234_01,Europa,False,G396,55 Cancri e,20.0,False,2627.3,2627.3,2627.3,2627.3,2627.3,Guest 234,0
235_01,Mars,True,F497,TRAPPIST-1e,24.0,True,1709.9,1709.9,1709.9,1709.9,1709.9,Guest 235,0
236_01,Earth,False,C255,TRAPPIST-1e,19.0,True,107.1,107.1,107.1,107.1,107.1,Guest 236,0
237_01,Europa,True,F757,55 Cancri e,31.0,False,2392.8,2392.8,2392.8,2392.8,2392.8,Guest 237,0
238_01,Mars,False,C971,TRAPPIST-1e,27.0,True,349.5,349.5,349.5,349.5,349.5,Guest 238,0
